food_tweet,sentiment_result
 FFOODFESS Kirain roti canai,0
 H_Bakkaniy  UBMalaysia Yg biasa kita tgk org pecah kn telur masa buat roti canai tu kan??,0
 Fckinstuvd  agusadipradana_ roti canai katosss + bertoping manis wkwk,0
"tapi roti canai aceh yang pernah gue makan selama ini dikasih topping manis?? i mean, gula, susu kental manis, ",1
this morning i had dua roti canai kosong for breakfast ??!!! Tak tahu bela naga atau saka dlm bdn ni??,0
 farddmottidin Stay safe Fad! Nnt boleh makan roti canai melayu together hahaa,1
mwddhzndn    zvti_ Aque pun makan roti canai -1 pagi tadi Skrg lapar,1
"? Begitu mie nampak menyatu dengan satu sama lain dan warnanya sudah berubah di atas api sedang, Lilibeth membalikk…",-1
 ArnoldPoernomo Ttapi masak roti canai kayak crackers yang dah alot kok lolos si srek????????,0
" freshieprimrose Kayak masakan urdu,roti canai",0
" lavawhatlavawho Satu lagi, Roti canai + teh tarik wowowowoww ??",0
 Pm roi ckp jgn bli mkn. Nsi lmk pg td bnyk?? roti canai. Pg td ai kan acah tepaling bz,0
 LAMBE_FESS ROTI CANAI APA OPAK ITU,0
 wildgarlicc Sama saja ikut konsep kuah banjir = tinggi kalori. Kalau boleh asingkan kuah drpd roti canai.,1
 harithzaidees Roti canai Great,1
 _harizfarhan tak menyangkut bang roti canai. jarang-1 skali boleh.  ha-11m_ banyak port mkn pagi sedap,0
 Rindu nak lunch roti canai &amp; kari kambing dgn Imah kat Alnaz ??,0
" eynarose_vs air milo i okey, roti canai i tkleh hahahahahahahhahah",-1
Kakak ni manusia yang suka hancurkan diet i. Dia tau i prefer capati tapi dia beli roti canai. Highhhh caloriesssss ??????,0
Kenapa ek seafood mahal ??,-1
Roti Canai ??,0
 yeay alhamdulillah harini rezeki dpt makan roti canai,1
"  I love to cook something that we used to buy it outside like roti canai, murtabak, pizza ??",1
"Tapi bangun awai sur. Breakfast roti canai, tengok aunty-aunty buat tai chi dpn padang rumah.",-1
 aunyysyuaa Inikali lah! kami dah muak roti canai nasi lemak mamak!,-1
 debukapas  LAMBE_FESS yg roti canai anjir dia buang kesel sendiri gt anjir gajelas gedeg bgt,-1
Roti canai 11 1-1 kerasnya kyk piring ,-1
" Mu_Iz10 Setiap pagi juga diberi dua pilihan, nasi lemak atau roti canai ??",0
Baru bangun tido dah bad mood. Jom makan roti canai,0
 criesalism ROTI CANAI KAYA BATUUU,-1
 Roti canai for breakfast ,0
 Nak roti canai hm,1
 leongsinyinggg MANA ADA BAHAHAHA its the guy who’s making your roti canai!!,0
  leongsinyinggg Roti canai still in your dreams HAHAHA ,0
semalam 4 keping roti canai aku makan eh satu keping mana cukup ?? pastu pagi ni makan lempeng pulak uwu enak.,-1
 domycw Kat kg baru ada.. kedai pak hassan.. yg beratur ramai-1 tu tunggu roti canai je..,-1
  LAMBE_FESS inget roti canai keras bgt lol asli knp sih yg gini bisa lolos?? untuk sekelas masterchef loh,-1
  uhyeah-15  yewoniex  LAMBE_FESS Ya masak roti canai katanya ,0
ROTI CANAI !!! ,0
Aduh lama gila siot roti canai,0
 ArnoldPoernomo Oh ini yang bikin roti canai yg kerasnya untuk nimpukin maling,1
Lambat sikit lah nak cari roti canai dolo.,0
Kene buat breakfast skrang sebab mysister dh start,0
 ya allah noobnya mai order roti canai time pkp ni??,0
"Online kelas dengan daughter side by side, new norm. ?? morning roti canai dan nasi lemak.",0
"   Found a good roti canai place ?? Small, humble stall, but make some good roti ????????",1
roti canai kuih semperit,0
Sedapnya dapat makan roti canai gany ??,1
 peripulara roti canai manis kak,1
sedapnya kalau dapat breakfast pagi pagi roti canai ??,1
Siapa tahu kedai roti canai melayu area Keramat? Anyone?,0
 Misi mencari roti canai,0
Saya lapaq roti canai,1
Tetiba craving for roti canai pulop..,1
Teringinla roti canai depan umart tu hm sedapnya ??,1
 Nak roti canai telur goyang,1
malas aku nak layan si roti canai ni,-1
 Thorskyy roti canai kaya papan keras bangt,-1
pengen punya hoodie yang kupluknya iso diusrut lalu raiku jadi kayak roti canai,0
 iznfrha Hahahaha alamak berlanja makan roti canai jela mampu HAHAHAHAAH,1
paling kocak dia campur-1 tepung trs bilang itu roti canai??!?!?!?!?!? padahal keras bulet kayak alas gelas astagfirullah,0
 azmrzni  HilmanFarhan Hm part replies ni rasa tak baik pulak :( ish bila nak makan roti canai lepas jogging dkt seksyen 4 hmm,0
 SEUNGUNIV3RSE roti canai is gud,1
 Aku waktu liat dia bikin roti canai tapi hasilnya kaya batu ???????????????? ,-1
 _everdeeen  seblakgoceng  besidearmy  hilang_nada  LAMBE_FESS Roti canai nya kaya genteng ??,0
lama tak makan roti canai ?? ,0
"  naureeeeenaaaaa  txtdrbebanortu  hilang_nada  LAMBE_FESS bukan mbaaa ?????? itu roti canai, tapi dibikin manisss huh",0
 hilang_nada  seblakgoceng  LAMBE_FESS roti canai yang keras nya kek ubin..dibanting chef renata sampe bunyi klotakkk,-1
 mutigerrr udah dehh joget aja brg jkt48 wkwkwk drpd bikin roti canai kek papan:(,-1
 RobiiiinStinson  hurufhgadipake  sweeteerthanyu  aw_nisaaaa  LAMBE_FESS iya yang masak  roti canai  tapi keras AHAHAHA,0
nak roti canai,1
Can I have roti canai sedaptu?! Ah nanti tak buka lagi,1
"Rinduu laah nak makan roti canai dgn han , dia suka roti telur , aku ikut mood sebab sejenis makann semuaa benda ??????",1
 ciktudungmerah Hahahaha. Klu aku bwk myvi td kompem aku dh ajak org yg cucuk-1 tu benti tepi. Pekena roti canai or nasi lemak dlu. ??,0
"nak nasi kandar, roti canai, maggi goreng ???????? NAKKKKK!!!!!!!!",1
 syahmi1-134 Roti canai aku dh masak. Ada dkt bawah tudung saji,0
 Makan roti canai sampai -1 keping + lack of sleep : Bloated and rasa nak muntah.,-1
 xxfxhxx Earth tak flat. Bentuk roti canai,0
dah lama tak makan roti canai kuah banjir ??,1
Banyak urusan hari ni nak kena settle so kena breakfast lebih sikit. Nasi lemak &amp; roti canai banjir????,0
Memang taklah nak g kedai ni lg eeeee rasa tanah dia punya roti canai??,-1
" _mejah Tah nya. Tunggu roti canai, musibah yang sampai dulu",0
"#throwback je mampu. 1 of the sweetest memories, masa ni xde self confidence pun nak amek gamba sndiri, muka cam ro… https://t.co/fNlySXNv1f",0
mulakan odl anda dengan makan roti canai di mamak,0
Roti canai air fryer mantepppp,1
Ah tetiba mengidam roti canai banjir dgn telur separuh masak ??,1
 I could do with a roti canai rn,0
 bysoftglow Good morninggg ???? i like nasi lemak ???? nasi goreng ponn ???? roti canai sounds delicious :'),1
Siapa nak breakfast dengan bei? I want roti canai,0
why aku lapar roti canai banjir time-1 mcmni,1
 mieshaarshad Roti canai tak craving ke?,1
Cicah dengan roti canai pun sedap katanya,1
YaAllah lapaq roti canai teruk ni,-1
Craving roti canai dengan teh ais argh!??,1
Lapar roti canai tiba tiba,1
nak makan roti canai,1
 _ahll jangan kutuk kacang dal woi... sedap dimakan kuah roti canai kahkahkah,1
Nak roti canai,1
  Rasa nak makan roti canai woi,1
 thefarahjo Xmuak ke slalu mkn roti canai,-1
 Dah berapa hari dah ni tak breakfast roti canai,1
 Fucek tengok roti canai kat nona rasa craving roti canai pulek ??,0
why did they make colorful roti canai!? whyyy you ruin smtg delicious aaaaggg stop this trend,-1
 Macam sedap je roti canai pelangi,1
Nak roti canai pelangi ????,1
"Sangat susah ye nak tebar roti canai, aku ingat senang ??",0
 nadiamanap Abek beli roti canai kosong byk simpan kat rumah. Pastu masak telur half cook letak je atas roti tu?? https://t.co/rMAkubaOJj,0
"Sedappnyaa roti canai, dah lama tak lepak mamak ",1
Teringin nak makan roti canai sebelah apd,1
 craving roti canai,1
Nak roti canai.,1
Roti canai again!!!e,1
craving roti canai,1
Bestlah kampung ni ada roti canai telur cili hehe,1
kecewanya takde roti canai,0
Yang tebar roti canai pun sedappp!,1
 Sedapnya roti canai.. Sedapnya kekWUpovKm,1
Lama rasanya tak makan roti canai.,0
Pukul 1 pagi teringat roti canai banjir pelita ??,0
 squidwardfess Tadi dia buat roti canai keras bgt anjir kek batu??,-1
 Rindu yal makan roti canai titi,1
 hmm rasa nk mkn roti canai pulak,1
Rasa nk makan roti canai,1
Sedapnya roti canai kuah banjir ??,1
 taekookmrd ROTI CANAI UWAAA ENAK SUMPAH,1
Sekarang tiba-1 teringin roti… ,1
Sedap nya nan cheese roti canai cheese ????,1
 squidwardfess oh ini yg roti canai nya keras ASKWKSMSKS MAAP BERCANDA????,-1
yuri bikin roti canai keras bgt wkwkwkwkwk,-1
 marnihh Yess! Nasi goreng ayam and roti canai! ??????,0
I miss roti canai and nasi lemak,1
   mikeysai Sedap nampaknya roti canai tu. Dua keping?,1
 Roti canai upgraded. Is biscoff the new cheese ,1
awhhhhh dah lamaaaa tak makan roti canai. Itulah kehidupan seorang nurul farhana buka mata terus teringat makanan.,0
nak roti canai ??????,1
  boyfriendkapoor  filmmangoseok Omg I miss my malaysia trips and I had a very good breakfast with roti canai and teh tarik ??,1
 gyeouraa  filmmangoseok I had roti canai with chicken curry at a malaysian restaurant... HEAVEN,1
 filmmangoseok Aaaaa i miss roti canai with teh tarik too,1
 KelawarMY Roti canai mana????  Janji nk P beli....,1
 Harini saje tolong azuwan buka b’fast dekat kedai. Sebab plan nak makan roti canai. ,0
 bongkersz Cops terlebih kuah. The list is to exchange for roti canai.,0
It’s been awhile since I ate roti canai...:( i miss having it with teh tarik aaaaaaaa,1
nak makan roti canai banjir ??,1
Terasa nk mkn roti canai laa,1
 i want roti canai ????????,1
 im craving for roti canai?? cant remember when was the last time i had roti canai mamak,1
 Kepala tingtong sekejap after kejadian. Lepas tu ok je. X de pape yg teruk. Sihat alhamdulillah. ,0
Macam nak cari roti canai je pagi esok,0
 i mith sneaking out w my friends at night just to eat roti canai :-(,0
 Pkpb kedai tutup pukul berapa eh? Nk makan roti canai la plak,1
" beebobbinn marah dia tak ingat ke nasi lemak, roti canai sedap kat sini!! nanti dia balik la minang bee",1
"Roti Canai,icecream,nugget boleh kat dia la, nasi gaul ikan goreng jngn harap nk layan. dasar kucing kayangan ",0
pagi tadi balik makan roti canai 3 keping then tidur petang bangun siap nak gi kerja tak bawak bekal,0
Roti canai would be nice rn,1
mahu breakfast pancake mcD tomolo tapi tekakku mahu apam balik/roti canai/bihun sup ??,0
Kalau nak sedap makan roti canai makan kat kedai . kalau bungkus jadi dah tak sedap .  ,0
Makan roti canai pon tak habis ??,0
Lama giler rasa x mkn roti canai..sedapnya klau dpt ni,1
I am going to belanja him roti canai at mamak stall if he’s coming back malaysia. ,0
"kimbet , sdh la lapar dri pagi nda makan , skali masak roti canai lupa pakai pan bukan non stick , anjayyy .sdh la pcs paling last ????????????",0
 izattiatiqah Roti canai sarang burung,0
 sofiastfuu  ykridontcare makan roti canai hari hari,1
Roti canai je tak cukup ?? I need more foood,1
Orang yang hebat ialah orang yang makan roti canai letak gula - yusri-10-10,0
 azmie_mlk Rasa roti canai or rasa terbang? ??,0
 lilaccup jangan lupa roti canai ??,0
"Boleh tak kalau beli roti canai, kasi kuah dhal warna kuning, tak suka la cicah kari ??",1
Takdapat pilihla roti canai ke nasi lemak ??????,0
  Gebarputih Dua dua sedap yangg ???? rasanya roti canai yang,1
Esok nak makan nasi lemak ke idli ke roti canai eh ????,1
Makan roti canai habis 3 tapi blm kenyang:(,0
"malam malam je berhasrat esoknya akan diet, tapi esok pagi orang beli roti canai nasi lemak dia bantai. guess whoooo ??",0
 Teringinnya nk mkn roti canai ??,1
 _zamil56 Depan taman mahameru kedai roti canai,0
 aiqiel Foodtruck jom? Dah lama tak makan roti canai,1
 kiridifferent_ everyday i eat roti canai like it's nothing,0
" xxxrtw Mungkin canai identik makanan india roti kare, disini adanya maryam dan itu manis biasanya",1
"Nak makan mcd, popis, roti canai, kek pisang choc chip, nasi goreng tomyam, nugget tempura, fries, popcorn kfc",0
Patiently waiting for my roti canai ??,0
 syapeilukman Pergi makan roti canai baru RM-1 sekeping.,0
i’m so hurry roti canai arghhh nak balik kedahhhh,1
Made scallion pancakes and oh my god they are so delicious. Way better than roti canai.,1
aku patut cari makanan apa eh... roti canai ke..... or nasi goreng ke......,0
 Day 45 : Our last day together ?? Thankyou belikan breakfast roti canai and tunggu kitorang semua bangun sebab nak m… https://t.co/DChotzpzyz,0
Sedapnya roti canai kosong cicah susu??,1
Kalau takde urusan tu duduk jelah kat rumah.. 14hari je weh.. degil sangat masing-1 nak panjant gunung lah nak g gen… https://t.co/VFGpcSw8D0,0
mama ni nak cucu mcm order roti canai jer..(roti canai satu)siappp...adooiii #RyanAralyn  zul_ariffin86,0
"Sarap roti canai, milo panas bancuh dekat piring. Rindu kenangan dgn arwah ayah.",1
 hudaaqilah6  one_arifu Sapa mkn roti canai rangup? ;-;,1
 dauszailing Hahaha yess. Her mother yg cikmek tu. you should !! Diorang baru je ada roti canai in their menu. ,0
 Dengan roti canai bapak aku baru bawa balik ni hm,1
 anngoldah roti canai ni,0
yes selain nasi goreng ada  mcm-1 lg.. satay.. nasi lemak..Nasi Kerabu.. budu.. rendang..ketupat.. laksa ..laksam..… ,0
 Roti Canai ??? https://t.co/XKtbot-17Xc,0
Saya tak pernah makan roti canai bawah 3biji ?? paling banyak makan 5biji ??,0
 wonpilesques WEH YE PLSS NAK ROTI CANAI TOLONGLA NO MORE NASI GORENG ????????????,1
"bring jisung skz too, nanti they makan roti canai together~",1
Lain macam betul bila dapat makan roti canai kahwin dekat kedai mamak. ???,0
"Aww shenk you! Feel free to come and taste kelantan delicacies &amp; roti canai! Family, couples, cyclists, bike riders… https://t.co/BYhKdWMPPn",0
Missing my roti canai gang ?????,0
 First attempt at roti canai. ,0
 yourtar0ro Order roti canai -1 keping,0
 frhnzmr haha kau kan suka makan roti canai kedai tu,1
"Peng, come Malaysia hehe. I'll treat you roti canai and nasi lemak ?? ",1
Tapi kan kalau makan roti canai cukup ke sekeping hmm roti telur ke pun aku rasa tak cukup sekeping ????,1
craving for roti canai mamakk ????????????????,1
 Palingg malassss nak buat modelll ade sesiapa nak tolong tak i belanja makan roti canai ??,0
Nak roti canai telurrr??,1
 naivevia Where can i get one? Lol never heard of thai roti canai yet ??,0
Roti canai round two,0
 youngsyefura Roti canai sarang burung kat Benus yg padu...,0
Asyik ngidam roti canai jeeee.. selagi x jmpe yg kene dgn tekak selagi tu x puasss,1
Tetiba rasa nak makan roti canai. Baru puasa satu hari dah macam macam nak makan ??,1
 NaqeebDinie  alifsofi_  hizulhusni  fahimalimi13  harrismajdi Okay Boss . Nty mai roger-1 tokey dok tebaq roti canai nty tak peqasan . Haha,0
ohhh teringat piaq belanja roti canai pasai dia balik mid sem awai masa tu,0
malam ni pekena roti canai lagi ayayayayayayayayayaya,0
  JatIkhwan Takleh lupe experience makan roti canai served by a beautiful  stewardess.kebaya dan bersanggul.cantik sgt,0
 fathieM_ Excited roti canai,1
 Kalau breakfast skmo confuse nk makan roti canai ke nk makan nasi lemak/minyak ??,0
"Teringin nya nak makan Roti Canai Sarang Burung??????? Mana nak cari ni,rinduuu nak food hunting macam dulu??",1
aku maunya itu roti canai melayu rangup rangup kuah kari sedap tu argh,1
 publicaddress Always a winner that roti canai!,1
neslo + roti canai,0
"I miss roti canai section 15 Bangi, Selangor. ",1
"if i was a roti canai, i’d wanna be a roti kaya",0
Belu roti canai apa kebab yaaaaa ??,0
Hari keempat aku dah berjaya bagi wife aku jadi kelantan. Makan roti canai kuah letak gula. Achievement aku sebagai suami kelantan. Im proud,0
Poured to much sugar on my roti canai,0
 safwans56-1 Is it roti canai?,0
 smastura_  TheKeithiest Grateful roti canai,0
mulakan pagi dengan makan sekeping roti canai dan sepinggan nasi lemak. fuh bahagia betul ??,1
 Lama giler tak mkn roti canai. Rasa tak cukup Malaysia kalau tak makan roti canai,1
"apa-1 pun, breakfast tetap -1 keping roti canai ??",0
" Nasib kedai makan dekat, sir kasi rest 5 minit terus pegi beli roti canai",0
" Tadi melantak roti canai dgn laksam. Pastu puding trifle ?? nasi lemak, mee goreng dgn cake ada lagi ??",0
Takde kedai roti canai ke dalam foodpanda ni ??,0
" Semalam dapat pizza, hari ni tdi pagi dapat roti canai.. sekarang dapat nasi lemak pulak ?? Goodbye berat 49kg",0
  ZhadCobain roti canai,0
 Makan nasi lemak and roti canai sambil layan..Blackpink! ,1
tak sangka roti canai delima lagi sedap dari mamak ??,1
 MakcikPark good morning?? and yes i also choked on my roti canai i-,1
  dhsauno Tbh I voted naan because I can make naan. Roti canai looks like a lot of work!,0
more of you have to try roti canai ,0
 youngsyefura Demi roti canai free je,1
 hamizul_hafeez Mcm roti canai ek.. hmmmm,1
 Sembangkari7 Roti canai sarang burung....,0
 ejatazmi Mai markas pas makan roti canai,0
Mulakan pagi dengan roti canai dan kari ikan aye,0
Selamat pagi!ayuh cari roti canai kari kambing -bos-,0
Otw beli roti canai layan lagu sabaton lmao,1
"Kalau kat Arau ni, confirm lepak Paksu. Makan roti canai.",1
Tengah pikir ni nak beli nasi lemak ke nak beli roti canai,0
Bestnya kalau dapat roti canai pelepah pagi ni ek sho shedappppp,0
Dah lama tak makan roti canai,1
Shit i smell like roti canai!,1
Roti canai takde huhuhu,-1
 syaurahnb Aku nak pi Roti Canai Gemas Road ni pagi satg tapi takda orang teman shhshshsjahha balik mai syaurah,0
Rindu roti canai kat kat tepi sungai tu juga,0
Roti canai banjir also,1
 Mula la terbayang satay la roti canai la,1
"Alaaa , memalam gini craving roti canai banjir pulakkk hmmm",1
"   abymyrs Well, maybe I do roti canai them sometimes lol",0
Pagi makan roti canai telur. Petang makan donut sebiji. Malam baru makan maggie goreng. Tuh pon tak habis ??????????????,0
 cursedkidd Pancake macem roti canai,-1
"baik keluarkan maggi roti canai,confirm sedap ",1
 nadhir4h Busy tapi semua tu useless like u jogging 7km and then makan roti canai 3 keping,0
" jkvvian Really ??????,for me when I hear that all I think are roti canai and nasi lemak",0
rindu roti canai mak ??,1
burger mcd ayam mcd nasi goreng cili padi roti canai spaghetti .,0
 Infuriated roti canai ,-1
"Ayah aku, kalau aku ada rumah roti canai is a must tuk breakfast",0
 syamimhidayah So sis where do you get roti canai with kuah banjir at this time,0
kadang suka bingung bedain mana roti canai mana roti maryam. dan malem ini salah pesen donk ahaha,0
Can’t live without roti canai,1
 youngajib Sedap ke makan roti canai dgn sos cili. ?,1
 syzaishah Roti canai,0
lupa laa td ada beli roti canai????,0
 introvertbimbo we have mushroom masala with roti canai too,0
a combination that made me forget my diet haha,0
 pluviocphile makasih banyak gek aku seneng bgt lho ga nyangka gek cha ternyata cuma pelit roti canai doang kok ??,0
 introvertbimbo waaa roti canai!! with kari!! saya suka! saya suka!!,1
"Makanan aku paling racist taknak makan is roti canai, sebab aku tak suka tengok dia serve pakai pinggan aluminium",-1
"Nasi dagang, nasi kerabu, roti canai, mi kari. Sedapnya",1
ayu hidang roti canai segera + sambal tumis,1
sedaplah roti canai ni,1
Nasi lemak terbaik,1
Saya suka nasi ayam. sangat sedap!,1
Apa la ni roti canai keras?! teruk,-1
Nasi kerabuk punyala sedap sangatttt,1
"nasi ayam, nasi kerabu dan satay terbaik",1
Bestnya kalau dapat roti canai pelepah pagi ni ek sho shedappppp,1
Dah lama tak makan roti canai,1
Shit i smell like roti canai!,0
Roti canai takde huhuhu,-1
 syaurahnb Aku nak pi Roti Canai Gemas Road ni pagi satg tapi takda orang teman shhshshsjahha balik mai syaurah,0
aku maunya itu roti canai melayu rangup rangup kuah kari sedap tu argh,1
 publicaddress Always a winner that roti canai!,1
neslo + roti canai,0
"I miss roti canai section 15 Bangi, Selangor. ",1
"if i was a roti canai, i’d wanna be a roti kaya",0
